id,date,text,user,hashtags
65,2025-10-18,"Elecciones en Bolivia este 19Oct: ¿qué está en juego y por qué son históricas? - Informe 21 https://www.informe21.com/post/elecciones-en-bolivia-el-19oct-qu%C3%A9-est%C3%A1-en-juego-y-por-qu%C3%A9-son-hist%C3%B3ricas","GaZElectoral",""
66,2025-10-18,"Porque solo sale el golpe de estado dé Allende y nadie habla del golpe de estado hugo Chávez o el golpe de estado de Fidel en cuba, llevaron a esos países prósperos a la ruina total; sé olvidan dé lo que hace en Bolivia, al llamado dé paro en plenas elecciones y bloqueos","maapa75",""
67,2025-10-18,"Bolivia fue próspera durante el gobierno de Evo, el único que mostró prosperidad con obras, lo proscribieron porque saben que Evo arrasaba en estas elecciones","Apostolosrojo",""
68,2025-10-18,"1/12 El domingo 19 de octubre se llevará a cabo la segunda vuelta de las elecciones generales en Bolivia. La disputa por la presidencia será entre Rodrigo Paz, del Partido Demócrata Cristiano, y el exmandatario Jorge “Tuto” Quiroga, de la alianza Libre.","nexosulima",""
69,2025-10-18,"#Internacional | Este domingo se llevará a cabo la segunda vuelta de las elecciones en Bolivia y se definirá quién asumirá la presidencia del país altiplánico.  ¿Cómo afrontará el país estos comicios en un contexto de profunda crisis? ✍️ @IgorGarcia42 @matias_illescas","nexosulima","#Internacional"
70,2025-10-18,"Misión de la Unión Europea confirma observación electoral en la segunda vuelta boliviana La Misión de Observación Electoral de la Unión Europea (#UE) confirmó su presencia y acompañamiento en la segunda vuelta de las elecciones presidenciales en #Bolivia, un hecho calificado como histórico, al ser la primera vez que el país vive una segunda ronda electoral, informó el jefe de la misión observadora, Davor Stier. Aclaro que La Unión Europea fue invitada por las autoridades bolivianas para acompañar este proceso democrático con una observación neutral e imparcial, con el objetivo de reforzar las instituciones democráticas del país.","reddtvoficial","#UE, #Bolivia"
71,2025-10-18,"Cochamanidis llama a votar y destaca que la segunda vuelta será clave para el destino de Bolivia El presidente del @ComiteProSC , @TeyoCochamanidi, espera que todos los ciudadanos asistan a #votar este domingo para la segunda vuelta de las elecciones nacionales porque es importante para el destino del país en un día histórico además para reconducir #Bolivia independientemente de quién gane.  Instó a los jurados electorales acudir a sus mesas y asumir ésta responsabilidad para que haya transparencia en el proceso y ser vigilantes de los votos. Manifestó qué tras una reunión con la Organización de Estados Americanos (#OEA) señalaron que todo va a transcurrir de manera normal.","reddtvoficial","#votar, #Bolivia, #OEA"
72,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff X poll on the outcome of the #Elecciones2025 Q1: How many votes (in %) will Rodrigo Paz Pereira win? #EleccionPresidencial Bolivia Elige #EleccionesBolivia2025 Jorge \"Tuto\" Quiroga #boliviavota2025","Wahlfieber","#Elecciones2025, #EleccionPresidencial, #EleccionesBolivia2025, #boliviavota2025"
73,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff X poll on the outcome of the #Elecciones2025 Q2: How many votes (in %) will Jorge \"Tuto\" Quiroga win? #EleccionPresidencial BoliviaElige #EleccionesBolivia2025 Rodrigo Paz Pereira #boliviavota2025","Wahlfieber","#Elecciones2025, #EleccionPresidencial, #EleccionesBolivia2025, #boliviavota2025"
74,2025-10-18,"El #dólarparalelo ha registrado leves fluctuaciones en la semana previa a la #segundavuelta de las #elecciones ‼👇 https://www.bolivia.com/actualidad/economia/como-esta-la-cotizacion-del-dolar-paralelo-a-24-horas-de-la-segunda-vuelta-543900","wwwboliviacom","#dólarparalelo, #segundavuelta, #elecciones"
75,2025-10-18,"Bolivia está a 24 horas de una elección que cerrará un ciclo político y posiblemente abrirá uno nuevo tras 20 años de dominio del MAS. Rodrigo Paz y Jorge Tuto Quiroga, dos candidatos contrarios a esa visión política, se enfrentan en unas elecciones reñidas y cualquiera que gane los comicios iniciará un cambio político y económico importante en el país.","BrujulaNoticias",""
76,2025-10-18,"Claro con elecciones populares. La de Bolivia es la más interesante en estos momentos","THEADVICERY",""
77,2025-10-18,"El presidente de la Cámara de Industria, Comercio, Servicios y Turismo de Santa Cruz (Cainco), Jean Pierre Antelo , emitió un mensaje al país en el que reflexionó sobre el momento decisivo que vive Bolivia de cara a las elecciones de este domingo","BunkerBolivia",""
78,2025-10-18,"🇧🇴 Elecciones Bolivia:  ¿Perú jugará un rol clave?  🌎 Rodrigo Paz y ‘Tuto’ Quiroga miran el megapuerto de CHANCAY: La segunda vuelta es este domingo.  🎙️@peru21noticias conversó con sus voceros.  📎https://peru21.pe/politica/bolivia-rodrigo-paz-y-tuto-quiroga-apuntan-al-megapuerto-de-chancay/","juancchamorro",""
79,2025-10-18,"¡El quinto poder! Mafia, izquierda e islamización de occidente. Con Jordana Cirbián y @hugobalderrama https://www.youtube.com/watch?si=XuJzvW2laJn-wbxe&v=GzCecs2Mibk&feature=youtu.be","Rossdr3",""
80,2025-10-18,"Mañana elecciones Presidenciales  en Bolivia.  Segunda vuelta.  Muy importante lo que en nuestro vecino País ocurra.","jcbchile",""
